R_h,delta_w_h,change_type,n_hexagons,n_hex_day,outcome,cohort_specification
0,-7,workmode_only,357,17514,sch_flg,outcome_specific
0,-5,workmode_only,76,866,sch_flg,outcome_specific
0,-4,workmode_only,160,1914,sch_flg,outcome_specific
0,-3,workmode_only,62,868,sch_flg,outcome_specific
0,-2,workmode_only,558,8117,sch_flg,outcome_specific
0,-1,workmode_only,439,5126,sch_flg,outcome_specific
0,0,never_treated,3928,79826,sch_flg,outcome_specific
0,1,workmode_only,96,1861,sch_flg,outcome_specific
1,-6,region_and_workmode,544,3986,sch_flg,outcome_specific
1,-5,region_and_workmode,464,5410,sch_flg,outcome_specific
1,-4,region_and_workmode,311,3763,sch_flg,outcome_specific
1,-3,region_and_workmode,205,3346,sch_flg,outcome_specific
1,-2,region_and_workmode,83,630,sch_flg,outcome_specific
1,-1,region_and_workmode,80,373,sch_flg,outcome_specific
1,0,region_only,530,10884,sch_flg,outcome_specific
1,1,region_and_workmode,35,253,sch_flg,outcome_specific
1,2,region_and_workmode,114,1164,sch_flg,outcome_specific
1,3,region_and_workmode,34,211,sch_flg,outcome_specific
1,4,region_and_workmode,95,1023,sch_flg,outcome_specific
1,5,region_and_workmode,44,388,sch_flg,outcome_specific
1,6,region_and_workmode,213,1879,sch_flg,outcome_specific
1,7,region_and_workmode,10,49,sch_flg,outcome_specific
